model,mean_rank
MLP,4.833333333333333
DLinear,4.833333333333333
NLinear,5.166666666666667
LSTM,6.333333333333333
TimesNet,6.333333333333333
N-HiTS,7.5
TiDE,7.5
N-BEATS,8.166666666666666
Transformer,9.166666666666666
iTransformer,9.833333333333334
PatchTST,10.0
CeNN_NS,10.833333333333334
Persistence,14.5
CeNN_Ada[QRC],14.5
MovingAverage,15.5
CeNN_Ada[QKRR],16.0
CeNN_Ada[VQC],16.166666666666668
CeNN_Ada[QELM],16.5
CeNN_Emu[QRC],18.666666666666668
CeNN_Emu[VQC],19.0
CeNN_Emu[QKRR],20.333333333333332
CeNN_Emu[QELM],20.333333333333332
VQC,21.5
QRC,21.833333333333332
QELM,22.666666666666668
QKRR,23.0
