model,rank_all,rank_no_diverged
MLP,4.833333333333333,4.833333333333333
DLinear,4.833333333333333,4.833333333333333
NLinear,5.166666666666667,5.166666666666667
LSTM,6.333333333333333,6.333333333333333
TimesNet,6.333333333333333,6.333333333333333
N-HiTS,7.5,7.5
TiDE,7.5,7.5
N-BEATS,8.166666666666666,8.166666666666666
Transformer,9.166666666666666,8.2
iTransformer,9.833333333333334,8.6
PatchTST,10.0,9.4
CeNN_NS,10.833333333333334,10.8
Persistence,14.5,14.5
CeNN_Ada[QRC],14.5,14.4
MovingAverage,15.5,15.5
CeNN_Ada[QKRR],16.0,16.8
CeNN_Ada[VQC],16.166666666666668,16.0
CeNN_Ada[QELM],16.5,16.6
CeNN_Emu[QRC],18.666666666666668,17.4
CeNN_Emu[VQC],19.0,18.4
CeNN_Emu[QKRR],20.333333333333332,19.2
CeNN_Emu[QELM],20.333333333333332,18.25
VQC,21.5,21.8
QRC,21.833333333333332,21.8
QELM,22.666666666666668,22.25
QKRR,23.0,23.2
