model,AAPL,ETTh1,ETTm2,Energy,ExchangeRate,Jena
Persistence,0.859,2.107,11.569,4.92,3.887,8.752
MovingAverage,0.632,2.18,15.631,4.46,4.586,11.864
MLP,0.598,2.021,6.055,1.793,4.578,7.836
LSTM,0.595,1.845,8.668,1.839,8.365,8.045
Transformer,0.597,2.089,7.496,1.836,18.842,8.787
N-HiTS,0.599,2.097,6.805,1.84,4.566,8.047
N-BEATS,0.603,1.966,6.488,1.813,4.575,8.867
DLinear,0.613,1.909,5.725,1.777,4.019,7.622
NLinear,0.622,1.958,5.583,1.778,4.052,7.654
PatchTST,0.606,2.05,9.672,1.659,18.732,8.131
TiDE,0.625,2.008,6.181,1.793,4.549,7.908
TimesNet,0.596,2.047,6.403,2.222,5.647,7.996
iTransformer,0.603,2.197,8.705,1.653,19.947,8.043
QELM,0.606,5.76,53.148,4.39,40.077,24.71
VQC,0.608,4.668,35.212,4.294,39.065,20.701
QRC,0.644,3.089,23.564,3.755,42.295,23.102
QKRR,0.698,3.648,36.227,4.435,36.464,18.517
CeNN_NS,0.601,2.198,8.865,1.806,17.727,8.465
CeNN_Emu[QELM],0.599,3.92,46.532,3.008,40.402,16.95
CeNN_Emu[VQC],0.601,3.521,29.829,2.963,32.568,14.736
CeNN_Emu[QRC],0.612,2.418,20.109,2.581,109.534,14.779
CeNN_Emu[QKRR],0.636,2.735,24.177,2.929,109.059,13.184
CeNN_Ada[QELM],0.599,2.301,33.286,2.903,20.171,14.542
CeNN_Ada[VQC],0.601,2.277,27.205,2.833,19.991,13.489
CeNN_Ada[QRC],0.612,2.119,19.184,2.569,18.985,13.215
CeNN_Ada[QKRR],0.636,2.176,23.11,2.853,18.33,12.399
