family,student,teacher,comparison,n_blocks,p_value,cliffs_delta,effect,mean_diff,p_holm,significant
H1,DLinear,QELM,SoftSR < NaiveKD,30,3.2606602822721844e-06,-0.6933333333333334,large,-1.6517136211152774,4.890990423408277e-05,True
H1,DLinear,QELM,SoftSR < LegacyPersist,30,7.32296033512146e-05,-0.43333333333333335,medium,-0.35628674739793326,0.0005858368268097168,True
H1,DLinear,QELM-NISQ,SoftSR < NaiveKD,30,5.122274160385132e-08,-0.6933333333333334,large,-1.8245652150766511,8.195638656616211e-07,True
H1,DLinear,QELM-NISQ,SoftSR < LegacyPersist,30,2.4842098355293274e-05,-0.43333333333333335,medium,-0.38626040549165247,0.00024842098355293274,True
H1,DLinear,ClassicalELM,SoftSR < NaiveKD,30,0.0002081172948348097,-0.29555555555555557,small,-0.07978284646473764,0.001456821063843668,True
H1,DLinear,ClassicalELM,SoftSR < LegacyPersist,30,0.0006513689193978434,-0.21888888888888888,small,-0.03337658125225133,0.003256844596989217,True
H1,PatchTST,QELM,SoftSR < NaiveKD,30,4.0372501439017805e-06,-0.6022222222222222,large,-1.6151194831135105,5.196407437324524e-05,True
H1,PatchTST,QELM,SoftSR < LegacyPersist,30,0.00029248954483708663,-0.44666666666666666,medium,-0.37267810737491597,0.0017549372690225198,True
H1,PatchTST,QELM-NISQ,SoftSR < NaiveKD,30,9.313225746154785e-09,-0.6755555555555556,large,-1.6657078140348047,1.5832483768463135e-07,True
H1,PatchTST,QELM-NISQ,SoftSR < LegacyPersist,30,3.997236490249634e-06,-0.5933333333333334,large,-0.3864221391077066,5.196407437324524e-05,True
H1,PatchTST,ClassicalELM,SoftSR < NaiveKD,30,0.2582742420732513,-0.058888888888888886,negligible,-0.04518532999230691,0.6968175675719976,False
H1,PatchTST,ClassicalELM,SoftSR < LegacyPersist,30,0.7239572739986038,-0.03222222222222222,negligible,0.016363646681980277,0.7239572739986038,False
H1,N-HiTS,QELM,SoftSR < NaiveKD,30,3.629140757183669e-06,-0.6911111111111111,large,-1.8072244346101471,5.080797060057137e-05,True
H1,N-HiTS,QELM,SoftSR < LegacyPersist,30,1.3442710041999817e-05,-0.6044444444444445,large,-0.36446633712088283,0.00014786981046199799,True
H1,N-HiTS,QELM-NISQ,SoftSR < NaiveKD,30,6.51925802230835e-09,-0.6955555555555556,large,-1.9153130469530808,1.1734664440155029e-07,True
H1,N-HiTS,QELM-NISQ,SoftSR < LegacyPersist,30,3.955326974391937e-05,-0.54,large,-0.3527567681120224,0.00035597942769527435,True
H1,N-HiTS,ClassicalELM,SoftSR < NaiveKD,30,0.04383146252566552,-0.15555555555555556,small,-0.18638904067880444,0.17532585010266208,False
H1,N-HiTS,ClassicalELM,SoftSR < LegacyPersist,30,0.23227252252399921,-0.11777777777777777,negligible,-0.09167151067718038,0.6968175675719976,False
