student,teacher,policy,mean_regret,median_regret,harm_rate,n_units
DLinear,ClassicalELM,HardRejectPersist,0.0191,0.0,0.4,30
DLinear,ClassicalELM,HardRejectSR,-0.0008,0.0,0.0,30
DLinear,ClassicalELM,LegacyPersist,0.0454,0.019,0.6667,30
DLinear,ClassicalELM,NaiveKD,0.0918,0.017,0.7333,30
DLinear,ClassicalELM,Oracle,-0.0064,0.0,0.0,30
DLinear,ClassicalELM,SoftSR,0.012,0.0021,0.5667,30
DLinear,ClassicalELM,ValSelect,-0.0027,0.0,0.0667,30
DLinear,QELM,HardRejectPersist,0.0138,0.0,0.0667,30
DLinear,QELM,HardRejectSR,-0.0009,0.0,0.0,30
DLinear,QELM,LegacyPersist,0.3552,0.1256,0.7,30
DLinear,QELM,NaiveKD,1.6506,0.5457,0.8333,30
DLinear,QELM,Oracle,-0.0021,0.0,0.0,30
DLinear,QELM,SoftSR,-0.0011,0.0,0.0,30
DLinear,QELM,ValSelect,-0.0021,0.0,0.0,30
DLinear,QELM-NISQ,HardRejectPersist,0.0144,0.0,0.0667,30
DLinear,QELM-NISQ,HardRejectSR,-0.0009,0.0,0.0,30
DLinear,QELM-NISQ,LegacyPersist,0.3851,0.1443,0.7,30
DLinear,QELM-NISQ,NaiveKD,1.8234,0.588,0.8333,30
DLinear,QELM-NISQ,Oracle,-0.0011,0.0,0.0,30
DLinear,QELM-NISQ,SoftSR,-0.0011,0.0,0.0,30
DLinear,QELM-NISQ,ValSelect,-0.0011,0.0,0.0,30
N-HiTS,ClassicalELM,HardRejectPersist,-0.0145,0.0,0.2333,30
N-HiTS,ClassicalELM,HardRejectSR,0.0,0.0,0.0,30
N-HiTS,ClassicalELM,LegacyPersist,0.0552,-0.0004,0.4667,30
N-HiTS,ClassicalELM,NaiveKD,0.1499,-0.0003,0.4,30
N-HiTS,ClassicalELM,Oracle,-0.0732,-0.0278,0.0,30
N-HiTS,ClassicalELM,SoftSR,-0.0364,-0.0124,0.2333,30
N-HiTS,ClassicalELM,ValSelect,-0.0229,-0.0003,0.2,30
N-HiTS,QELM,HardRejectPersist,0.0184,0.0,0.0667,30
N-HiTS,QELM,HardRejectSR,-0.0,0.0,0.0,30
N-HiTS,QELM,LegacyPersist,0.3644,0.1307,0.8,30
N-HiTS,QELM,NaiveKD,1.8072,0.5197,0.8333,30
N-HiTS,QELM,Oracle,-0.0159,0.0,0.0,30
N-HiTS,QELM,SoftSR,-0.0001,0.0,0.0,30
N-HiTS,QELM,ValSelect,-0.0025,0.0,0.0,30
N-HiTS,QELM-NISQ,HardRejectPersist,0.0183,0.0,0.0667,30
N-HiTS,QELM-NISQ,HardRejectSR,-0.0,0.0,0.0,30
N-HiTS,QELM-NISQ,LegacyPersist,0.3527,0.204,0.7667,30
N-HiTS,QELM-NISQ,NaiveKD,1.9152,0.5046,0.8333,30
N-HiTS,QELM-NISQ,Oracle,-0.0015,0.0,0.0,30
N-HiTS,QELM-NISQ,SoftSR,-0.0001,0.0,0.0,30
N-HiTS,QELM-NISQ,ValSelect,-0.0014,0.0,0.0,30
PatchTST,ClassicalELM,HardRejectPersist,0.0282,0.0,0.2667,30
PatchTST,ClassicalELM,HardRejectSR,-0.0173,0.0,0.0,30
PatchTST,ClassicalELM,LegacyPersist,0.0645,0.0118,0.6,30
PatchTST,ClassicalELM,NaiveKD,0.126,0.0066,0.5333,30
PatchTST,ClassicalELM,Oracle,-0.08,-0.012,0.0,30
PatchTST,ClassicalELM,SoftSR,0.0809,0.0037,0.5333,30
PatchTST,ClassicalELM,ValSelect,-0.0027,0.0,0.2667,30
PatchTST,QELM,HardRejectPersist,0.0183,0.0,0.0667,30
PatchTST,QELM,HardRejectSR,-0.0003,0.0,0.0,30
PatchTST,QELM,LegacyPersist,0.4212,0.1742,0.7333,30
PatchTST,QELM,NaiveKD,1.6636,0.5483,0.8,30
PatchTST,QELM,Oracle,-0.0119,0.0,0.0,30
PatchTST,QELM,SoftSR,0.0485,0.0,0.0667,30
PatchTST,QELM,ValSelect,0.0077,0.0,0.0667,30
PatchTST,QELM-NISQ,HardRejectPersist,0.0188,0.0,0.0667,30
PatchTST,QELM-NISQ,HardRejectSR,-0.0002,0.0,0.0,30
PatchTST,QELM-NISQ,LegacyPersist,0.4163,0.1981,0.8,30
PatchTST,QELM-NISQ,NaiveKD,1.6956,0.8175,0.8333,30
PatchTST,QELM-NISQ,Oracle,-0.0004,0.0,0.0,30
PatchTST,QELM-NISQ,SoftSR,0.0299,0.0,0.0333,30
PatchTST,QELM-NISQ,ValSelect,0.0094,0.0,0.0667,30
